time,open,high,low,close,regime,direction,h1_direction,h1_adx,m15_adx,atr,atr_ratio,choch,fvg,zone,bos,ob,sweep,session,alert_fired,score,outcome
2026-01-29 05:40:00+00:00,5554.09,5555.37,5543.515,5549.775,1,1,1,52.17018066413556,35.428660249581064,13.381764165702748,0.8188072703472233,0,0,1,1,0,0,2,1,0.55,loss
2026-01-29 05:50:00+00:00,5557.89,5559.51,5552.27,5554.13,1,1,1,52.17018066413556,35.428660249581064,13.038791551039584,0.8188072703472233,0,0,1,1,0,0,2,1,0.55,loss
2026-01-29 06:00:00+00:00,5562.725,5585.44,5562.515,5582.765,1,1,1,53.434745718511685,34.08303996063131,13.691636592477936,0.805047675403487,1,0,1,1,0,0,1,1,0.6,loss
2026-01-29 06:10:00+00:00,5587.155,5588.7,5578.985,5584.465,1,1,1,53.434745718511685,33.65641389096889,12.949497878208076,0.819383867580971,0,0,1,1,0,0,1,1,0.5,loss
2026-01-29 06:20:00+00:00,5579.89,5595.77,5579.89,5586.67,1,1,1,53.434745718511685,33.65641389096889,13.040868068454984,0.819383867580971,0,0,1,1,0,1,1,1,0.7,loss
2026-01-29 06:30:00+00:00,5586.065,5587.85,5577.735,5581.39,1,1,1,53.434745718511685,33.47448808575286,12.622228079433183,0.823923234025784,0,1,1,1,0,0,1,1,0.8,loss
2026-01-29 06:40:00+00:00,5583.775,5587.435,5581.8,5582.25,1,1,1,53.434745718511685,33.3055569809094,11.872941558286817,0.8049139480556663,0,0,1,1,0,0,1,1,0.5,loss
2026-01-29 06:50:00+00:00,5573.445,5577.095,5566.4,5570.61,1,1,1,53.434745718511685,33.3055569809094,12.70888838444122,0.8049139480556663,0,0,1,1,0,0,1,1,0.5,loss
2026-01-29 07:00:00+00:00,5561.32,5575.28,5561.055,5568.505,1,1,1,54.82315665956202,31.885627391750784,13.065648658013048,0.8343436961223298,0,0,1,1,0,0,1,1,0.5,loss
2026-01-29 07:10:00+00:00,5568.74,5571.705,5560.44,5561.7,1,1,1,54.82315665956202,30.567121344674927,12.666043995939877,0.8274314555556457,0,0,1,1,0,0,1,1,0.5,loss
2026-01-29 07:20:00+00:00,5564.505,5565.085,5550.065,5555.245,1,1,1,54.82315665956202,30.567121344674927,12.725007323029793,0.8274314555556457,0,0,1,1,0,1,1,1,0.7,loss
2026-01-29 07:40:00+00:00,5543.83,5553.58,5542.6,5549.435,1,1,1,54.82315665956202,26.680542807516535,13.165156683492592,0.8482109051645775,0,0,1,0,0,0,1,1,0.0,loss
2026-01-29 07:50:00+00:00,5549.145,5552.47,5546.535,5550.735,1,1,1,54.82315665956202,26.680542807516535,12.234828977093144,0.8482109051645775,0,0,1,0,0,0,1,1,0.0,loss
2026-01-29 11:55:00+00:00,5526.91,5528.7,5521.63,5522.62,1,1,1,48.50870527047427,30.305741421693853,10.45343860361348,0.9076386457940158,0,0,1,0,0,0,4,1,-0.1,loss
2026-01-29 12:05:00+00:00,5522.47,5526.47,5521.555,5522.515,1,1,1,48.50870527047427,30.305741421693853,9.658322061278987,0.9076386457940158,0,0,1,0,0,0,4,1,-0.1,loss
2026-01-29 12:15:00+00:00,5535.75,5539.565,5531.755,5531.995,1,1,1,48.50870527047427,29.15957859444365,10.062328716102751,0.9077844399743132,0,0,1,1,0,0,4,1,0.4,loss
2026-01-29 12:25:00+00:00,5539.605,5543.23,5537.945,5540.905,1,1,1,48.50870527047427,27.829226736444912,9.866523229700835,0.8930572583837155,0,1,1,1,0,0,4,1,0.7,loss
2026-01-29 12:35:00+00:00,5542.35,5542.555,5529.23,5532.055,1,1,1,48.50870527047427,27.829226736444912,9.819629723568656,0.8930572583837155,0,0,1,1,0,0,4,1,0.4,loss
2026-01-29 12:45:00+00:00,5529.975,5538.09,5527.4,5534.675,1,1,1,48.50870527047427,26.69585525746737,9.82843073103624,0.883037277331382,0,0,1,1,0,0,4,1,0.4,loss
2026-01-29 12:55:00+00:00,5535.07,5539.745,5529.395,5534.16,1,1,1,46.88821486752993,25.643438884131083,9.795815273189406,0.869401203456388,0,0,1,1,0,0,4,1,0.4,loss
2026-01-29 13:05:00+00:00,5535.165,5537.8,5529.5,5532.535,1,1,1,46.88821486752993,25.643438884131083,9.89121316922967,0.869401203456388,0,0,1,1,0,0,5,1,0.45,loss
2026-01-29 13:40:00+00:00,5517.935,5530.98,5517.02,5526.06,1,1,1,46.88821486752993,25.88421739886032,11.669278078452065,0.9291089898949942,0,0,1,0,0,0,5,1,-0.05,loss
2026-01-29 13:50:00+00:00,5517.265,5523.86,5511.185,5519.695,1,1,1,46.88821486752993,25.88421739886032,11.649632628869323,0.9291089898949942,0,0,1,0,0,0,5,1,-0.05,loss
2026-01-29 14:10:00+00:00,5537.175,5539.485,5526.655,5529.125,1,1,1,44.81783749445972,25.546771538796424,12.818882822603488,0.966237455027126,0,0,1,0,0,0,5,1,-0.05,loss
2026-01-29 14:20:00+00:00,5523.78,5529.67,5516.915,5526.21,1,1,1,44.81783749445972,25.546771538796424,12.735465290918327,0.966237455027126,0,1,1,0,0,0,5,1,0.45,loss
2026-01-29 15:55:00+00:00,5196.435,5198.62,5167.76,5183.2,1,-1,-1,43.46278365795693,38.02836535054405,59.34927646261743,2.174554267505538,0,0,1,0,0,0,5,1,-0.25,loss
2026-01-29 16:05:00+00:00,5231.565,5259.84,5223.975,5248.82,1,-1,-1,43.46278365795693,38.02836535054405,57.9126414397058,2.174554267505538,0,0,1,0,0,0,5,1,-0.25,loss
2026-01-29 16:15:00+00:00,5274.99,5275.935,5245.625,5264.575,1,-1,-1,43.46278365795693,39.41238807344207,54.70618062913412,2.1380320262711776,0,1,1,0,0,0,5,1,0.25,loss
2026-01-29 16:25:00+00:00,5270.28,5297.395,5265.26,5289.785,1,-1,-1,43.46278365795693,40.19864515177176,51.89104350165136,1.9998990848477396,0,0,1,0,0,0,5,1,-0.25,loss
2026-01-29 16:35:00+00:00,5282.53,5285.645,5248.235,5248.46,1,-1,-1,43.46278365795693,40.19864515177176,49.64880791724028,1.9998990848477396,0,0,1,0,0,0,5,1,-0.25,loss
2026-01-29 16:45:00+00:00,5273.2,5277.96,5253.03,5273.4,1,-1,-1,43.46278365795693,40.5704608997169,47.00874254088577,1.8836574469638772,0,0,1,0,0,0,5,1,-0.25,loss
2026-01-29 16:55:00+00:00,5253.655,5264.55,5245.925,5264.55,1,-1,-1,44.22896865594331,41.07466229609147,44.970803517396426,1.74814860872312,0,0,1,0,0,0,5,1,-0.25,loss
2026-01-29 17:05:00+00:00,5287.73,5299.185,5283.92,5292.87,1,-1,-1,44.22896865594331,41.07466229609147,42.07819282877548,1.74814860872312,0,0,1,0,0,0,3,1,-0.1,loss
2026-01-29 19:10:00+00:00,5335.605,5337.105,5303.31,5307.24,1,-1,-1,43.44479423930918,33.0905014844951,26.922012988788445,1.0098744925970344,1,0,1,1,0,0,3,1,0.7,loss
2026-01-29 19:20:00+00:00,5319.875,5323.545,5307.58,5314.545,1,-1,-1,43.44479423930918,33.0905014844951,26.15880201584312,1.0098744925970344,0,0,0,1,0,0,3,1,0.6,loss
