alert_time,regime,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-01-08 05:45:00+00:00,TREND,sell,4428.6998046875,4441.968338448661,4399.214174107143,20.1512,4.9143,0.25,approve,sl_hit,4441.968338448661,-267.38,0.0,-267.38,-13.27,9,False,False
2026-01-08 12:35:00+00:00,TREND,sell,4435.00009765625,4449.695755440848,4402.343080357143,17.8304,5.4428,0.45,approve,sl_hit,4434.183672223772,14.56,0.0,14.56,0.82,8,True,False
2026-01-09 01:20:00+00:00,TREND,sell,4464.1001953125,4476.886680385044,4435.685784040178,20.5154,4.7357,0.25,approve,sl_hit,4476.886680385044,-262.32,0.0,-262.32,-12.79,6,False,False
2026-01-09 13:30:00+00:00,TREND,buy,4497.1,4477.698646763393,4540.214118303572,13.2503,7.1857,0.45,approve,trailing_sl,4516.777078683036,130.36,171.38,301.75,19.68,25,True,True
2026-01-11 23:10:00+00:00,BREAKOUT,buy,4539.70009765625,4522.516789899554,4577.885226004465,15.3119,6.3642,0.25,approve,tp_hit,4577.885226004465,584.69,0.0,584.69,38.19,16,False,False
2026-01-12 14:10:00+00:00,TREND,buy,4607.1,4587.660037667411,4650.2999162946435,14.1359,7.2,0.45,approve,sl_hit,4608.179997907367,15.27,0.0,15.27,1.08,5,True,False
2026-01-13 05:35:00+00:00,TREND,sell,4598.4,4609.296428571428,4574.185714285714,25.2475,4.0357,0.25,approve,trailing_sl,4587.642661830357,135.8,183.41,319.2,10.76,14,True,True
2026-01-13 13:30:00+00:00,TREND,buy,4623.3001953125,4607.852601841519,4657.628180803572,18.2224,5.7213,0.45,approve,sl_hit,4624.158394949777,15.64,0.0,15.64,0.86,14,True,False
2026-01-13 21:55:00+00:00,TREND,sell,4593.79990234375,4602.478567940848,4574.513978794643,32.4709,3.2143,0.35,approve,sl_hit,4602.478567940848,-281.8,0.0,-281.8,-8.68,2,False,False
2026-01-14 05:55:00+00:00,TREND,sell,4625.6998046875,4640.511195591517,4592.785602678571,18.6457,5.4857,0.25,approve,sl_hit,4640.511195591517,-276.17,0.0,-276.17,-14.81,3,False,False
