alert_time,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2025-12-29 06:30:00+00:00,sell,4517.4,4530.728683035714,4497.406975446428,15.2568,6.6643,0.25,approve,tp_hit,4497.406975446428,152.51,127.1,279.61,19.99,4,True,True
2025-12-29 13:50:00+00:00,sell,4429.6001953125,4446.94296875,4403.58603515625,12.0479,8.6714,0.45,approve,trailing_sl,4422.44287109375,43.12,130.59,173.71,7.16,3,True,True
2025-12-30 20:10:00+00:00,sell,4362.6998046875,4375.29990234375,4343.799658203125,16.8585,6.3,0.35,approve,sl_hit,4361.754797363281,15.93,0.0,15.93,0.95,9,True,False
2025-12-31 00:10:00+00:00,sell,4353.1001953125,4365.071805245535,4335.142780412946,17.7702,5.9858,0.25,approve,sl_hit,4365.071805245535,-212.74,0.0,-212.74,-11.97,11,False,False
2025-12-31 04:35:00+00:00,sell,4357.1998046875,4365.6854352678565,4344.471358816964,24.5689,4.2428,0.25,approve,trailing_sl,4351.385532924107,71.43,130.3,201.73,5.81,4,True,True
2026-01-02 05:15:00+00:00,buy,4390.99990234375,4377.0284319196435,4411.957107979911,15.2108,6.9857,0.25,approve,trailing_sl,4397.828334263393,51.93,132.82,184.76,6.83,89,True,True
2026-01-02 13:30:00+00:00,sell,4384.50009765625,4396.671484375,4366.243017578125,17.764,6.0857,0.45,approve,sl_hit,4383.587243652343,16.22,0.0,16.22,0.91,6,True,False
2026-01-04 23:10:00+00:00,buy,4379.3998046875,4366.071261160715,4399.392619977679,16.2461,6.6643,0.25,approve,sl_hit,4366.071261160715,-216.54,0.0,-216.54,-13.33,4,False,False
2026-01-05 03:10:00+00:00,buy,4420.3001953125,4408.414453125,4438.12880859375,17.8538,5.9429,0.25,approve,sl_hit,4408.414453125,-212.21,0.0,-212.21,-11.89,10,False,False
2026-01-05 11:35:00+00:00,sell,4432.29990234375,4442.657045200893,4416.764188058035,20.0791,5.1786,0.4,approve,tp_hit,4416.764188058035,155.97,129.98,285.95,15.54,15,True,True
2026-01-06 04:35:00+00:00,buy,4477.3998046875,4469.3998046875,4484.406675502232,26.7101,2.3356,0.25,approve,trailing_sl,4480.528948102678,41.79,77.98,119.77,3.13,11,True,True
